Combined profile
Profiled turns: 30468
Timed-out turns: 298
Total calls: 23304062
Total tottime: 23108176.50 us
Total cumtime: 99183991.30 us

      ncalls   tottime_us   cumtime_us   avg_cum_us  function
----------------------------------------------------------------------------------------------------
     2420146   3610507.50   4890943.40         2.02  map_info.py:update_at
       30468   1648629.50   7481363.90       245.55  map_info.py:update
       22787   1636539.00   2562765.20       112.47  map_info.py:_compute_route_targets
      890715    980239.50    980239.50         1.10  map_info.py:expand_chebyshev
       17515    860661.60    973714.90        55.59  map_info.py:_expand
     2541412    748864.80    748864.80         0.29  ~:0(<method 'get_tile_building_id' of 'builtins.Controller' objects>)
       60945    683799.40   1415960.40        23.23  pathing.py:voronoi_claim
       13002    532087.90    630612.50        48.50  pathing.py:bfs_move
       19891    494521.20    636605.10        32.00  map_info.py:_compute_route_reaches_core
     4062420    465862.20    465862.20         0.11  ~:0(<method 'bit_length' of 'int' objects>)
        2797    423881.90    444397.20       158.88  pathing.py:bfs_route
        4314    419271.80    494613.20       114.65  attack.py:_compute_sentinel_dir_scores
     1291794    405264.10    405264.10         0.31  ~:0(<method 'get_hp' of 'builtins.Controller' objects>)
       19747    398116.10  18678936.40       945.91  builder.py:run
        8368    368356.00    580263.10        69.34  attack.py:_compute_gunner_dir_scores
       10331    365191.70   3520759.10       340.80  map_info.py:update_move
       51762    362999.10    394802.10         7.63  pathing.py:closest
       24748    352426.00    647826.40        26.18  heal.py:_do_best_heal
     1543583    331300.00    605183.70         0.39  <string>:<lambda>
        8305    292181.60    350643.70        42.22  map_info.py:_compute_conv_by_dir
       40150    291353.60    291353.60         7.26  ~:0(<method 'get_nearby_units' of 'builtins.Controller' objects>)
     1543583    273883.70    273883.70         0.18  ~:0(<built-in method __new__ of type object at 0x00007FFDF40368A0>)
       30468    269221.50    269221.50         8.84  ~:0(<method 'disable' of '_lsprof.Profiler' objects>)
      867828    213491.70    319285.10         0.37  enum.py:__hash__
       44083    209879.70    258306.80         5.86  map_info.py:_conveyor_target_tiles
       19747    209362.80    267494.00        13.55  builder.py:handle_comms
        8512    186799.30   1803068.30       211.83  secure.py:run
       14516    174738.60    215931.80        14.88  route.py:not_blocked
       28375    170278.00    210249.90         7.41  harvest.py:possible_ore
      143642    169174.30    277380.60         1.93  ~:0(<method 'get_position' of 'builtins.Controller' objects>)
